id,cid,SF,tS,corr,hit,neut,expr
LL93K5JL,w77_i,4.22,1.81,0.864,E5vx6NJP,SUBINDUSTRY,"group_rank(anl4_fs_detail_estimates_advanced_af_nd_capex_std/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
A10Qjn3Q,w32_e,4.19,1.68,0.8644,O0rZ90n1,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(fnd6_newqv1300_lnoq/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
MP1d7Nvk,w53_a,6.05,2.57,0.8645,mLgd6nwX,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
j23pv2ej,w119_i,4.54,2.47,0.8646,kqVp6wnO,SUBINDUSTRY,"group_rank(fnd6_intc/assets, bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_lnoq/assets, bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_corr(close, volume, 60)), range=""0.1, 1, 0.1""))"
9qjqjO7r,w154_g,4.02,2.11,0.8648,kqoq0zed,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txs/cap, subindustry) + group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(fnd6_lqpl1/cap, subindustry) + 1.75*group_rank(-ts_delta(close, 5), subindustry) + 1.75*group_rank(volume/ts_mean(volume, 90), subindustry)"
xAYV1mnp,w58_b,4.23,3.83,0.8654,le8EAJLO,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
vRkZO1qw,w58_g,4.23,3.82,0.8655,le8EAJLO,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
pwP2wkkV,w118_k,4.58,2.19,0.8656,akLmmvPW,SUBINDUSTRY,"group_rank(fnd6_lifr/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_tfvceq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
kqVYEqKg,w80_b,4.01,1.26,0.8657,e79PvPpE,SUBINDUSTRY,"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_sga_high - anl4_fs_detail_estimate_1qf_v4_nd_sga_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_sga_mean), subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_median/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 8), subindustry) + rank(volume/ts_mean(volume, 150))"
d5OM2KXE,w118_a,4.41,2.06,0.8658,akLmmvPW,SUBINDUSTRY,"group_rank(fnd6_lifr/assets, bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1""))"
blR10el6,w106_b,4.77,2.28,0.8658,j23Pl0e5,SUBINDUSTRY,"group_rank(fnd6_xintopt/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 75), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 90))"
KPOAAz2x,w116_l,4.26,1.74,0.8661,kqVp6wnO,SUBINDUSTRY,"group_rank(fnd6_tstkc/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(fnd6_lifr/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(fnd6_cicurr/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1""))"
vRkXEl9d,w106_e,4.57,1.77,0.8662,e79PvPpE,SUBINDUSTRY,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 60), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 90))"
KPO5vmEg,w68_h,4.31,2.22,0.8667,N1QJPJE8,INDUSTRY,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_rank(close, 10), industry)"
d5Ova1gE,w77_h,4.25,1.49,0.8674,e79PvPpE,INDUSTRY,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, industry) + group_rank(ts_av_diff(cash/assets, 75), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), industry) + group_rank(-ts_delta(close, 10), industry) + rank(volume/ts_mean(volume, 120))"
qMWOjxW1,w52_h,5.82,2.64,0.8677,mLgd6nwX,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
gJQXb8bg,w55_g,5.87,2.72,0.8677,mLgd6nwX,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, industry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_delta(close, 2), industry) + rank(volume/ts_mean(volume, 60))"
xAYp7Ojn,w105_i,4.84,2.57,0.8679,npKGgKLw,SUBINDUSTRY,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
vRk7mlzb,w107_f,4.79,3.74,0.8681,npKGgKLw,SUBINDUSTRY,"group_rank(fnd6_xintopt/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry)"
1Yx2xnZJ,w87_g,4.79,1.64,0.8686,e79PvPpE,SUBINDUSTRY,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.45*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.45*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.5*group_rank(-ts_delta(close, 10), subindustry) + 0.5*rank(volume/ts_mean(volume, 120))"
9qV5wdOx,w108_f,4.66,2.52,0.8688,npKGgKLw,SUBINDUSTRY,"group_rank(fnd6_xintopt/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 5), subindustry)"
akL7l22v,r6_p5_sec,4.53,2.06,0.8691,9qVrJkYe,SECTOR,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(operating_expense/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry)"
vRrRrA2d,w154_b,4.01,2.13,0.8707,kqoq0zed,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txs/cap, subindustry) + group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(fnd6_lqpl1/cap, subindustry) + 1.6*group_rank(-ts_delta(close, 5), subindustry) + 1.6*group_rank(volume/ts_mean(volume, 90), subindustry)"
1YXkV3l6,x162_w164_00_MAR,4.6,1.6,0.871,YPbLZK2W,MARKET,"1.5*group_rank(fnd6_txtubadjust/cap, subindustry) + group_rank(fnd6_newqv1300_dpactq/cap, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.5*group_rank(-ts_rank(returns, 20), subindustry) + 1.5*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 1.5*group_rank(-ts_rank(returns, 5), subindustry)"
npdpKRMz,w146_c,4.47,3.12,0.8716,e79PvPpE,SUBINDUSTRY,"group_rank(authorized_stock_buyback_amount/cap, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/cap, subindustry) + group_rank(ts_delta(scl12_sentiment, 22), subindustry) + group_rank(ts_av_diff(cash/sqrt(cap), 45), subindustry) + group_rank(ts_av_diff(cashflow_op/sqrt(cap), 45), subindustry) + 0.75*group_rank(-ts_delta(close, 10), subindustry) + 0.75*group_rank(volume/ts_mean(volume, 120), subindustry)"
A10EXj1Y,w79_f,4.11,1.37,0.8719,E5vx6NJP,SUBINDUSTRY,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_high/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 75), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 8), subindustry) + rank(volume/ts_mean(volume, 150))"
JjNjNmVA,w152_a,4.0,1.88,0.8721,kqoq0zed,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txs/cap, subindustry) + group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(fnd6_lqpl1/cap, subindustry) + 1.5*group_rank(-ts_delta(vwap, 5), subindustry) + 1.5*group_rank(volume/ts_mean(volume, 120), subindustry)"
1Yxjnnvm,w36_e,5.49,1.71,0.8723,RRV5l5Go,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
npKGNnbE,w110_e,4.14,3.38,0.8725,npKGgKLw,SUBINDUSTRY,"group_rank(fnd6_xintopt/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))"
om6PG5Pv,w39_i,4.63,2.04,0.8725,LL98E87L,SUBINDUSTRY,"group_rank(fnd6_newqv1300_ivstq/assets, subindustry) + group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
QP37qxbG,r3_p5_d14,4.33,1.82,0.8726,9qVrJkYe,INDUSTRY,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(operating_expense/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry)"
npK2nONd,g02_xrent_cash,4.61,1.36,0.873,O0rZ90n1,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + rank(-ts_delta(close, 2))"
blblxz5M,w158_07,6.51,1.91,0.8731,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(ts_av_diff(cash/assets,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.25*group_rank(volume/ts_mean(volume, 90), subindustry) + 1.25*group_rank(-ts_rank(returns, 20), subindustry) + 1.25*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry)"
XgWMNaO5,w78_d,4.16,1.52,0.8735,e79PvPpE,SUBINDUSTRY,"group_rank(anl4_fs_actuals_basic_qf_nd_div_value/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfi_low/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 60), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
GrbrbxGP,w154_e,4.06,2.16,0.8736,kqoq0zed,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txs/cap, subindustry) + group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(fnd6_lqpl1/cap, subindustry) + 1.5*group_rank(-ts_delta(close, 5), subindustry) + 1.5*group_rank(volume/ts_mean(volume, 90), subindustry)"
P020Z02E,w146_b,4.47,2.72,0.8737,e79PvPpE,SUBINDUSTRY,"group_rank(authorized_stock_buyback_amount/cap, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/cap, subindustry) + group_rank(ts_delta(scl12_sentiment, 22), subindustry) + group_rank(ts_av_diff(cash/enterprise_value, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.75*group_rank(-ts_delta(close, 10), subindustry) + 0.75*group_rank(volume/ts_mean(volume, 120), subindustry)"
O0N0NAKv,w154_a,4.0,2.13,0.8741,kqoq0zed,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txs/cap, subindustry) + group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(fnd6_lqpl1/cap, subindustry) + 1.5*group_rank(-ts_delta(close, 5), subindustry) + 1.5*group_rank(volume/ts_mean(volume, 90), subindustry)"
1Yx0O5rJ,w78_h,4.56,1.35,0.8741,e79PvPpE,SUBINDUSTRY,"group_rank(anl4_fs_actuals_basic_qf_nd_div_value/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 60), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 8), subindustry) + rank(volume/ts_mean(volume, 150))"
3q9Kqr7e,w118_e,4.21,2.18,0.8742,akLmmvPW,SUBINDUSTRY,"group_rank(fnd6_intc/assets, bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tstkc/assets, bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1""))"
d5OY1Xgv,w56_b,5.04,1.61,0.8744,RRV5l5Go,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
O0rR8mjg,w56_f,5.04,1.61,0.8744,RRV5l5Go,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
e79EMRYM,w79_g,4.12,1.72,0.8748,e79PvPpE,SUBINDUSTRY,"group_rank(anl4_fs_detail_estimates_advanced_af_nd_capex_std/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 75), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 8), subindustry) + rank(volume/ts_mean(volume, 150))"
RRV7QVQn,o2_xopr_vwap_vol90,4.53,2.35,0.8752,0mRwgR6k,SUBINDUSTRY,"group_rank(fnd6_xopr/assets, subindustry) + rank(-ts_delta(vwap, 2)) + rank(volume/ts_mean(volume, 90))"
j23kkmdW,w116_f,4.87,2.15,0.8757,kqVp6wnO,SUBINDUSTRY,"group_rank(fnd6_intc/assets, sector) + group_rank(fnd6_tfvce/assets, sector) + group_rank(fnd6_lifr/assets, sector) + group_rank(ts_av_diff(cash/assets, 45), sector) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), sector) + group_rank(-ts_delta(close, 2), sector)"
LLNLvV82,w162_09,4.33,2.19,0.8759,0mXm1neK,SUBINDUSTRY,"1.5*group_rank(fnd6_newa1v1300_aol2/cap, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(volume/ts_mean(volume, 90), subindustry) + group_rank(-ts_rank(returns, 20), subindustry)"
RRVldAAe,w66_a,4.57,3.35,0.876,j23Pl0e5,SUBINDUSTRY,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfi_low/assets, subindustry) + group_rank(fnd6_txtubxintis/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
Xgbgb2Q1,w152_c,4.01,1.96,0.877,kqoq0zed,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txs/cap, subindustry) + group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(fnd6_lqpl1/cap, subindustry) + 1.25*group_rank(-ts_delta(vwap, 5), subindustry) + 1.25*group_rank(volume/ts_mean(volume, 120), subindustry)"
O0r6VZzJ,w41_c,4.72,1.99,0.877,RRV5l5Go,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
rK5NGW0d,w69_a,4.01,2.1,0.8771,N1QJPJE8,INDUSTRY,"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_delta(close, 5), industry) + rank(volume/ts_mean(volume, 90))"
58znNN8o,x162_w162_03_MAR,4.68,1.8,0.8771,levpXXGl,MARKET,"1.5*group_rank(fnd6_newa1v1300_aol2/cap, subindustry) + group_rank(ts_av_diff(assets_curr/assets,30), subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 2.0*group_rank(-ts_delta(close, 20), subindustry) + 2.0*group_rank(volume/ts_mean(volume, 120), subindustry) + 2.0*group_rank(-ts_rank(returns, 5), subindustry)"
ZY08P0nQ,w119_d,4.74,2.12,0.8774,kqVp6wnO,SUBINDUSTRY,"group_rank(fnd6_intc/assets, bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_lifr/assets, bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(volume, 20)), range=""0.1, 1, 0.1""))"
6XjXLKAO,w162_01,5.11,1.51,0.8775,npdpEJ3l,SUBINDUSTRY,"1.5*group_rank(ts_av_diff(cash/assets,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(volume/ts_mean(volume, 120), subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(-ts_rank(returns, 5), subindustry)"
78ZlYlxO,w77_j,4.02,1.29,0.8779,e79PvPpE,SUBINDUSTRY,"group_rank(anl4_fs_actuals_basic_qf_nd_div_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 75), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
9qVeq3ld,w118_n,4.09,1.77,0.878,akLmmvPW,SUBINDUSTRY,"group_rank(fnd6_intc/assets, bucket(rank(debt/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_lifr/assets, bucket(rank(debt/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(debt/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(debt/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(debt/assets), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(debt/assets), range=""0.1, 1, 0.1""))"
A1N1eOvd,w159_00,5.94,1.83,0.8791,9qjqm3Q9,SUBINDUSTRY,"1.5*group_rank(ts_av_diff(assets_curr/assets,30), subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 0.75*group_rank(-ts_delta(close, 20), subindustry) + 0.75*group_rank(-ts_rank(returns, 20), subindustry) + 0.75*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry)"
pwPvYJAX,w32_c,4.75,1.83,0.8799,O0rZ90n1,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(fnd6_newqv1300_mibtq/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
3q9vKRdz,w106_f,4.9,2.39,0.8803,j23Pl0e5,SUBINDUSTRY,"group_rank(fnd6_xintopt/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), industry) + rank(volume/ts_mean(volume, 60))"
A10ev37X,w56_g,5.19,1.5,0.8804,RRV5l5Go,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 40), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
QP37jPO5,r4_p5_t006,4.42,1.88,0.8812,9qVrJkYe,INDUSTRY,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(operating_expense/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry)"
E5vlbAo0,r5_p5_t010,4.42,1.88,0.8812,9qVrJkYe,INDUSTRY,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(operating_expense/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry)"
j23oY0Mo,w59_g,4.98,4.01,0.8815,j23Pl0e5,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
